Stock,Average Weight,Min Weight,Max Weight,Std Weight
WIPRO,0.052476419475797106,0.030998509377241135,0.14417213201522827,0.011398855926440478
TCS,0.050999164859930134,0.031205693259835243,0.14228607714176178,0.009709667087379144
INFY,0.05097959737459275,0.030070830136537552,0.10907059907913208,0.00797663387215854
SBIN,0.050969355367634396,0.03692412003874779,0.1157306432723999,0.00954589983844637
LT,0.05071939581877565,0.030564438551664352,0.11713208258152008,0.008916124540653741
BHARTIARTL,0.050615767652857795,0.036464449018239975,0.10779818147420883,0.007304435130386774
MARUTI,0.05044737586113688,0.026790214702486992,0.1357090324163437,0.009760771988719295
ULTRACEMCO,0.050445021492977665,0.03681178390979767,0.11556049436330795,0.007736765305720996
SUNPHARMA,0.05016275874760053,0.030581708997488022,0.09523843973875046,0.006037422107768407
AXISBANK,0.05008763500272411,0.03416420519351959,0.11552601307630539,0.008605064558937182
BAJFINANCE,0.05003002009163164,0.03184215724468231,0.11510147154331207,0.00794602608307131
RELIANCE,0.04977899157837646,0.033906012773513794,0.11589489132165909,0.007386850639978806
TITAN,0.049580030054466366,0.028035325929522514,0.1439085453748703,0.00748043187843735
ICICIBANK,0.049344267296056225,0.03509435057640076,0.08325935155153275,0.004958102778080357
ITC,0.04919757631543565,0.03225584328174591,0.12764990329742432,0.006682431627553372
KOTAKBANK,0.04897324425308672,0.034030139446258545,0.08639196306467056,0.005041099022287785
NESTLEIND,0.04893211382300887,0.02948128432035446,0.09326224029064178,0.0059107994031401
HDFCBANK,0.048885794829015866,0.03469816967844963,0.07865811884403229,0.004958833397720892
HINDUNILVR,0.04883133656562191,0.030064910650253296,0.1319013237953186,0.00691724143602285
ASIANPAINT,0.048544146940112116,0.028914036229252815,0.07504797726869583,0.00464576927145222
