,ASIANPAINT,AXISBANK,BAJFINANCE,BHARTIARTL,HDFCBANK,HINDUNILVR,ICICIBANK,INFY,ITC,KOTAKBANK,LT,MARUTI,NESTLEIND,RELIANCE,SBIN,SUNPHARMA,TCS,TITAN,ULTRACEMCO,WIPRO
2023-06-07,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
2023-06-08,0.05195583403110504,0.04996483027935028,0.04929131641983986,0.049781568348407745,0.053070731461048126,0.048716794699430466,0.050418607890605927,0.04622478783130646,0.049751318991184235,0.044049881398677826,0.05317382141947746,0.05051396042108536,0.05205465480685234,0.05189860984683037,0.04912875220179558,0.049588870257139206,0.05048767104744911,0.05082393065094948,0.05224980041384697,0.046854279935359955
2023-06-09,0.049596816301345825,0.05698710307478905,0.049688588827848434,0.04839469864964485,0.049367085099220276,0.0481511726975441,0.04969531297683716,0.0481363944709301,0.04788791015744209,0.04954805597662926,0.05642608180642128,0.05050912871956825,0.05261155590415001,0.0480470135807991,0.04880164563655853,0.049991246312856674,0.04849131777882576,0.050160814076662064,0.05138726904988289,0.046120788902044296
2023-06-12,0.05544508621096611,0.050873205065727234,0.05101669952273369,0.04910696670413017,0.046697620302438736,0.047127190977334976,0.04944438859820366,0.05481211468577385,0.048398684710264206,0.048105258494615555,0.052010390907526016,0.04912858083844185,0.054171863943338394,0.051683153957128525,0.04761144146323204,0.04829712584614754,0.05057564750313759,0.04987650364637375,0.049248844385147095,0.046369217336177826
2023-06-13,0.050417378544807434,0.05376660078763962,0.0478266142308712,0.049238383769989014,0.05066894739866257,0.050787027925252914,0.05115610733628273,0.04963462054729462,0.05131460353732109,0.04575970768928528,0.05361294001340866,0.049052294343709946,0.0528058260679245,0.04935137927532196,0.045971378684043884,0.04622306674718857,0.04804804548621178,0.053670238703489304,0.05286772921681404,0.047827091068029404
2023-06-14,0.05174819752573967,0.051320936530828476,0.047661468386650085,0.04878268763422966,0.04961547628045082,0.053873155266046524,0.04902338981628418,0.04720243439078331,0.04844935983419418,0.04919078201055527,0.051195185631513596,0.04936307668685913,0.05209032818675041,0.05333295464515686,0.04900190979242325,0.04888613522052765,0.04691093787550926,0.051081474870443344,0.05337144806981087,0.047898776829242706
2023-06-15,0.050356391817331314,0.052875518798828125,0.05088415369391441,0.05009375512599945,0.047701217234134674,0.050575822591781616,0.04681607335805893,0.04796880483627319,0.052061110734939575,0.046050917357206345,0.05247870087623596,0.04931854456663132,0.05406840145587921,0.05210629105567932,0.04695078730583191,0.050507042557001114,0.046302806586027145,0.04977070540189743,0.05368810147047043,0.04942483827471733
2023-06-16,0.05064873397350311,0.05072977393865585,0.050093188881874084,0.052973851561546326,0.049866627901792526,0.048176128417253494,0.050118930637836456,0.05148538947105408,0.05398154258728027,0.051968272775411606,0.04803479090332985,0.04893023520708084,0.05076177790760994,0.05147324129939079,0.04776563495397568,0.0497906431555748,0.045791465789079666,0.05143721029162407,0.05156121775507927,0.04441140592098236
2023-06-19,0.0529925562441349,0.047656334936618805,0.0674910843372345,0.046511828899383545,0.05026758089661598,0.04706360399723053,0.05109729990363121,0.05005722865462303,0.04993578791618347,0.04442686215043068,0.0513467974960804,0.047410547733306885,0.05116421729326248,0.05095754563808441,0.04647122323513031,0.04793579503893852,0.05008329451084137,0.05148894712328911,0.04927564412355423,0.046365849673748016
2023-06-20,0.049821723252534866,0.04547717794775963,0.04757149517536163,0.04748842120170593,0.0490848571062088,0.0482318215072155,0.054825711995363235,0.05185985192656517,0.048848360776901245,0.059380631893873215,0.04977180063724518,0.048757538199424744,0.05351218581199646,0.05087064579129219,0.05221283435821533,0.04778064787387848,0.05132768303155899,0.048948366194963455,0.04996585473418236,0.0442623607814312
