date,open,high,low,close,volume
2023-09-27 09:15:00+05:30,444.0,444.0,444.0,444.0,0
2023-09-27 09:40:00+05:30,444.0,444.0,444.0,444.0,5233178
2023-09-27 09:45:00+05:30,444.0,444.0,444.0,444.0,0
2023-09-27 09:50:00+05:30,444.0,444.0,444.0,444.0,0
2023-09-27 09:55:00+05:30,444.0,444.0,444.0,444.0,0
2023-09-27 10:00:00+05:30,444.0,452.0,444.0,445.3,2102318
2023-09-27 10:05:00+05:30,445.35,451.25,445.0,446.9,792925
2023-09-27 10:10:00+05:30,446.9,447.5,445.4,446.15,202079
2023-09-27 10:15:00+05:30,446.1,449.65,446.0,448.55,200354
2023-09-27 10:20:00+05:30,448.75,449.2,446.1,446.6,70947
2023-09-27 10:25:00+05:30,446.6,447.85,446.1,446.9,75570
2023-09-27 10:30:00+05:30,446.9,447.7,446.5,446.55,129159
2023-09-27 10:35:00+05:30,446.55,447.95,446.5,447.25,48056
2023-09-27 10:40:00+05:30,447.25,448.7,446.55,448.05,45732
2023-09-27 10:45:00+05:30,448.15,450.0,447.7,449.2,240521
2023-09-27 10:50:00+05:30,449.2,454.4,449.0,452.15,424193
2023-09-27 10:55:00+05:30,452.2,452.3,447.55,448.4,206238
2023-09-27 11:00:00+05:30,448.4,450.0,448.0,449.25,81573
2023-09-27 11:05:00+05:30,449.15,450.0,449.0,449.3,77211
2023-09-27 11:10:00+05:30,449.3,450.0,449.05,449.9,49065
2023-09-27 11:15:00+05:30,449.6,451.5,449.25,449.35,52004
2023-09-27 11:20:00+05:30,449.3,451.0,449.15,450.2,39594
2023-09-27 11:25:00+05:30,450.15,450.95,450.0,450.8,29931
2023-09-27 11:30:00+05:30,450.8,451.8,450.3,450.6,29841
2023-09-27 11:35:00+05:30,450.6,451.3,450.1,450.7,21250
2023-09-27 11:40:00+05:30,450.7,451.1,450.0,450.55,47509
2023-09-27 11:45:00+05:30,450.55,451.4,450.5,451.25,37359
2023-09-27 11:50:00+05:30,451.35,451.35,450.5,450.55,42512
2023-09-27 11:55:00+05:30,450.5,451.3,450.5,450.55,23362
2023-09-27 12:00:00+05:30,450.55,452.6,450.5,451.05,43460
2023-09-27 12:05:00+05:30,451.05,452.2,450.6,450.6,25548
2023-09-27 12:10:00+05:30,450.6,450.9,450.5,450.55,16884
2023-09-27 12:15:00+05:30,450.55,450.85,450.0,450.1,53724
2023-09-27 12:20:00+05:30,450.7,451.2,450.5,450.8,19165
2023-09-27 12:25:00+05:30,450.8,451.25,450.5,450.55,53088
2023-09-27 12:30:00+05:30,450.55,450.8,450.5,450.5,19094
2023-09-27 12:35:00+05:30,450.5,450.8,450.5,450.75,11926
2023-09-27 12:40:00+05:30,450.75,450.8,450.5,450.5,29911
2023-09-27 12:45:00+05:30,450.5,450.95,450.5,450.75,46480
2023-09-27 12:50:00+05:30,450.75,451.4,450.6,450.6,18740
2023-09-27 12:55:00+05:30,450.6,450.95,450.5,450.75,12153
2023-09-27 13:00:00+05:30,450.75,451.0,450.5,450.55,13602
2023-09-27 13:05:00+05:30,450.6,450.9,450.5,450.5,29269
2023-09-27 13:10:00+05:30,450.5,450.95,450.5,450.5,28404
2023-09-27 13:15:00+05:30,450.5,450.95,450.5,450.55,42453
2023-09-27 13:20:00+05:30,450.55,450.95,450.5,450.5,64313
2023-09-27 13:25:00+05:30,450.5,450.9,450.5,450.9,11200
2023-09-27 13:30:00+05:30,450.9,451.5,450.75,450.75,28067
2023-09-27 13:35:00+05:30,450.75,453.9,450.55,452.75,82769
2023-09-27 13:40:00+05:30,452.75,452.75,451.1,451.2,24101
2023-09-27 13:45:00+05:30,451.1,451.85,450.55,451.0,27755
2023-09-27 13:50:00+05:30,451.0,451.4,450.7,450.75,18781
2023-09-27 13:55:00+05:30,450.75,452.0,449.0,449.8,350191
2023-09-27 14:00:00+05:30,449.55,449.55,444.0,447.35,286134
2023-09-27 14:05:00+05:30,447.35,448.25,447.25,447.9,27616
2023-09-27 14:10:00+05:30,447.9,451.45,447.55,450.35,91956
2023-09-27 14:15:00+05:30,450.35,451.45,449.75,451.3,18834
2023-09-27 14:20:00+05:30,451.3,455.0,451.05,453.0,274068
2023-09-27 14:25:00+05:30,453.0,454.7,452.0,454.5,35683
2023-09-27 14:30:00+05:30,454.5,455.0,452.85,454.2,121538
2023-09-27 14:35:00+05:30,454.2,472.2,454.15,470.7,496959
2023-09-27 14:40:00+05:30,471.0,474.0,463.05,465.2,356063
2023-09-27 14:45:00+05:30,465.2,466.0,456.65,456.85,197474
2023-09-27 14:50:00+05:30,456.85,464.0,456.6,461.85,130004
2023-09-27 14:55:00+05:30,461.85,463.95,460.3,463.45,63152
2023-09-27 15:00:00+05:30,463.45,464.95,461.25,463.6,74163
2023-09-27 15:05:00+05:30,463.6,463.6,458.45,459.2,93577
2023-09-27 15:10:00+05:30,459.15,459.3,455.95,455.95,60094
2023-09-27 15:15:00+05:30,456.0,456.95,455.25,456.3,52331
2023-09-27 15:20:00+05:30,456.3,458.8,455.75,457.05,97024
