episode,reward,length
0,-0.22812885489491563,252
1,-26.763119179750475,252
2,9.37141882097348,252
3,-29.132608392892795,252
4,14.394470119616807,252
5,17.03265609803071,252
6,-5.914097046789991,252
7,-25.37628748491346,252
8,-21.50756928404977,252
9,-1.317704519560373,252
10,34.508931727555364,252
11,-4.259679521520189,252
12,25.289909729028043,252
13,-17.891064887021084,252
14,10.862578478112555,252
15,9.002296930797739,252
16,-11.869581792774683,252
17,14.1470370266305,252
18,2.8852394073632857,252
19,18.228313498612223,252
20,-27.71973954949746,252
21,-2.0321494313688446,252
22,-13.772878762860346,252
23,20.347774673115833,252
24,-17.400835299006086,252
25,23.071337411694376,252
26,-20.652161261690306,252
27,16.60558507451494,252
28,10.301574855962112,252
29,10.394388883985034,252
30,-45.201601131491856,252
31,0.0032926383511372725,252
32,6.019535644976215,252
33,0.5931657658621414,252
34,-17.5526582464583,252
35,24.2169097057828,252
36,-13.439728693648165,252
37,3.7023029866091095,252
38,13.819753525644646,252
39,16.95683223788846,252
40,-16.860804156543207,252
41,2.3417488532256754,252
42,14.84473090011572,252
43,-7.131120038725005,252
44,-21.46988986937006,252
45,-2.582599661719714,252
46,13.785379599164944,252
47,-7.9594799267073935,252
48,-18.422340389630758,252
49,18.128693291295686,252
50,-16.263780184378223,252
51,27.61443803125804,252
52,-6.120300158739298,252
53,-30.61755408230075,252
54,9.512011206980555,252
55,32.468082654740485,252
56,24.53706687295326,252
57,-38.41974359135023,252
58,-4.7273530704509525,252
59,-29.129625481787755,252
60,23.02357963259151,252
61,0.352713153060694,252
62,14.18937110780452,252
63,-6.947993889836374,252
64,-9.059909333989081,252
65,3.0584255161300185,252
66,-12.070814032882636,252
67,-1.1699831174478157,252
68,-0.4903574589487696,252
69,12.981597716881621,252
70,-2.617181355811881,252
71,11.749184510612576,252
72,-1.3740547259722073,252
73,1.0197817733657146,252
74,15.297126405306384,252
75,1.2512696057305202,252
76,2.4456683582409724,252
77,-6.25297982666627,252
78,-4.83060937162743,252
79,19.45785205419907,252
80,49.59595252972427,252
81,-21.89189492787449,252
82,-7.788654372717135,252
83,-29.775107125059844,252
84,17.51403590121474,252
85,-0.3023671807583366,252
86,-15.049606412661618,252
87,14.216075505595626,252
88,22.38697038184992,252
89,12.444077246901829,252
90,-18.651473348637797,252
91,-21.578194756113895,252
92,18.289860950711606,252
93,35.997188781498885,252
94,-3.9846746591010853,252
95,1.3596366271474742,252
96,-37.695004369277335,252
97,22.64757445039418,252
98,1.3776266991019037,252
99,-20.1168596825659,252
100,2.3792085680251223,252
101,16.0810211862664,252
102,42.2541044415489,252
103,-31.957223056906873,252
104,-3.7399029049582513,252
105,15.582703586969682,252
106,-15.634805491049772,252
107,-16.014284863437936,252
108,-3.522508719765392,252
109,19.439994090037025,252
110,46.77178688992441,252
111,22.443936620709454,252
112,7.076191922964383,252
113,-54.02413204833469,252
114,-37.4731233943353,252
115,28.34499523898513,252
116,26.047575160463794,252
117,-16.472347284210176,252
118,14.3109333397793,252
119,-39.0739588777022,252
120,22.295049253906175,252
121,22.902970156251328,252
122,0.7625154475737081,252
123,-28.032631172778693,252
124,-22.741006139005357,252
125,-24.21476598984032,252
126,38.160551321040224,252
127,34.991680942733666,252
128,-19.09024840587466,252
129,-22.214167788501495,252
130,-35.37881074043023,252
131,-18.770747587064278,252
132,-1.2386005001797056,252
133,-19.343364084551496,252
134,42.45235681646264,252
135,38.12362776871207,252
136,17.021466405839142,252
137,-31.621832251975977,252
138,1.4453254306760916,252
139,-22.29216187675995,252
140,30.994118343536798,252
141,-14.880876560835814,252
142,20.427830923453588,252
143,-21.184081225049322,252
144,-15.23628536691103,252
145,-27.8578256792072,252
146,-3.049818018825082,252
147,27.966272825445397,252
148,44.71378743820618,252
149,0.5341560673069138,252
150,-0.832130349709663,252
151,13.9201563897694,252
152,-20.363802777626727,252
153,14.979063236812046,252
154,2.460390548275748,252
155,3.676617351422166,252
156,-43.08900630174252,252
157,-0.7264557392495493,252
158,-18.49326552747539,252
159,-15.435452745927908,252
160,12.001644532089559,252
161,-12.33673130461276,252
162,44.74692044362119,252
163,22.402581909061237,252
164,11.987781680455742,252
165,-33.206935359652995,252
166,-28.28019473944942,252
167,2.727331678785783,252
168,-14.412738279493452,252
169,60.07578476120905,252
170,22.593558403951075,252
171,9.88705118818025,252
172,-45.495844033796374,252
173,-30.536859702587694,252
174,18.12453124767898,252
175,-9.049054368262752,252
176,-25.079290104280684,252
177,4.583663807725742,252
178,31.69152935707029,252
179,39.46035589819545,252
180,-13.879867568534257,252
181,25.874832976174105,252
182,-47.5233353331758,252
183,4.105669940491289,252
184,-26.064871313045092,252
185,30.474201059124027,252
186,23.664060935859467,252
187,16.812260549506135,252
188,-24.354680246501257,252
189,23.065786928365572,252
190,-7.53101782611165,252
191,3.9343040420820907,252
192,-34.83213708880037,252
193,0.1444186400974674,252
194,20.398731641713216,252
195,-22.991774274218933,252
196,-11.007892977419438,252
197,16.479963222633508,252
198,24.758642078070995,252
199,-19.07459768329443,252
