Stock,Average Weight,Min Weight,Max Weight,Std Weight
WIPRO,0.052950812215878544,0.02892042137682438,0.1529303938150406,0.015197804880715548
LT,0.051681858937013644,0.027703600004315376,0.1680440455675125,0.013246894877039327
BHARTIARTL,0.051450143252333554,0.034381378442049026,0.1572410762310028,0.012134636856564194
SBIN,0.051063833087682725,0.036990921944379807,0.15902450680732727,0.012049997662768102
TCS,0.050805318720944945,0.02933940291404724,0.15864558517932892,0.010870364155464841
INFY,0.050799506196420485,0.027558185160160065,0.11969511955976486,0.009544737451504486
MARUTI,0.05061460611754901,0.027371786534786224,0.14750957489013672,0.011880060481708256
SUNPHARMA,0.050406328698951904,0.026868201792240143,0.15233652293682098,0.01082313166603385
ULTRACEMCO,0.05021870936228805,0.03310299292206764,0.11505835503339767,0.009451214054006367
AXISBANK,0.05021473852432754,0.030613170936703682,0.11360948532819748,0.01029318031402523
ICICIBANK,0.04989494322913967,0.03251776099205017,0.12378561496734619,0.00794696182151207
BAJFINANCE,0.04963577876352284,0.032928988337516785,0.14122387766838074,0.010537399456706458
RELIANCE,0.049553293263259,0.034370455890893936,0.1498447060585022,0.00956495435357127
NESTLEIND,0.049116393365476234,0.02730296365916729,0.10823022574186325,0.008284593004030474
TITAN,0.048923999278308594,0.028872590512037277,0.12523919343948364,0.0078101466926961145
HINDUNILVR,0.04881013830128598,0.02904999442398548,0.14612671732902527,0.008355586441057578
HDFCBANK,0.04871910283622677,0.03201475366950035,0.09145285189151764,0.006137256601212975
ITC,0.04871585094867504,0.028829529881477356,0.12835939228534698,0.007736911245833433
ASIANPAINT,0.048318882330435596,0.028952134773135185,0.13147351145744324,0.00805772576106424
KOTAKBANK,0.04810577242443823,0.029195040464401245,0.08409581333398819,0.0047183579527510025
