,ADANIPORTS,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BHARTIARTL,BPCL,BRITANNIA,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GAIL,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,JSWSTEEL,KOTAKBANK,LT,M&M,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SUNPHARMA,TATACONSUM,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,UPL,WIPRO
2023-06-07,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223
2023-06-08,0.02248542197048664,0.022541949525475502,0.022205138579010963,0.022539539262652397,0.021736590191721916,0.022360803559422493,0.02234213799238205,0.02237195521593094,0.02263234183192253,0.022334013134241104,0.022485679015517235,0.022513316944241524,0.022100824862718582,0.02239723689854145,0.022023756057024002,0.021611003205180168,0.022512245923280716,0.022451909258961678,0.02215178869664669,0.022378545254468918,0.022256718948483467,0.02180212177336216,0.022251447662711143,0.022148244082927704,0.022318478673696518,0.022165335714817047,0.02173667959868908,0.021940458565950394,0.022251607850193977,0.022160733118653297,0.02216959185898304,0.02246752567589283,0.02238008938729763,0.02268851548433304,0.022373583167791367,0.02192465215921402,0.022079745307564735,0.021768298000097275,0.02191113494336605,0.022481348365545273,0.022387506440281868,0.021623754873871803,0.02216477505862713,0.022279838100075722,0.022091586142778397
2023-06-09,0.022641079500317574,0.021841509267687798,0.02217426523566246,0.02201882004737854,0.022283438593149185,0.022113444283604622,0.02212287299335003,0.022143254056572914,0.022183746099472046,0.02221684344112873,0.022766314446926117,0.022183341905474663,0.02252313122153282,0.0228494331240654,0.022258879616856575,0.02218613773584366,0.02240205742418766,0.021937433630228043,0.021952752023935318,0.022216489538550377,0.02189520001411438,0.022189797833561897,0.022214168682694435,0.021944863721728325,0.022197069600224495,0.022109929472208023,0.02189004234969616,0.022071456536650658,0.02260613813996315,0.02241569571197033,0.022137802094221115,0.022734330967068672,0.022477248683571815,0.022276239469647408,0.02212681993842125,0.02211427316069603,0.02221318706870079,0.022189144045114517,0.02252858318388462,0.021983442828059196,0.02231166698038578,0.022105669602751732,0.022227279841899872,0.021748136729002,0.022276578471064568
2023-06-12,0.022440161556005478,0.0220087468624115,0.022320540621876717,0.02247314341366291,0.022149957716464996,0.02184237912297249,0.022584538906812668,0.022352736443281174,0.02214440330862999,0.022009670734405518,0.022770211100578308,0.02196223847568035,0.022103218361735344,0.022546272724866867,0.02242760919034481,0.022186072543263435,0.0225334744900465,0.022010019049048424,0.021927354857325554,0.022273855283856392,0.022007906809449196,0.022535445168614388,0.02181444875895977,0.022375822067260742,0.022071346640586853,0.022269582375884056,0.022420398890972137,0.022432629019021988,0.022027242928743362,0.022413285449147224,0.02204408124089241,0.02267477847635746,0.022060763090848923,0.022305166348814964,0.021933402866125107,0.022158974781632423,0.022413304075598717,0.021958841010928154,0.022241586819291115,0.02210838347673416,0.0225056279450655,0.022284407168626785,0.022112607955932617,0.021648306399583817,0.022115079686045647
2023-06-13,0.022389473393559456,0.021944019943475723,0.021939631551504135,0.02214985527098179,0.02213837020099163,0.021865107119083405,0.02208910882472992,0.022315792739391327,0.02195148915052414,0.021763114258646965,0.022731319069862366,0.021970445290207863,0.02206394262611866,0.022474756464362144,0.022526361048221588,0.022270256653428078,0.02276710420846939,0.022145062685012817,0.02195579931139946,0.02231789566576481,0.02227068692445755,0.022595329210162163,0.02218499407172203,0.022081218659877777,0.021936526522040367,0.021973494440317154,0.022049106657505035,0.022621193900704384,0.022139599546790123,0.02197110839188099,0.022375192493200302,0.02272268570959568,0.022356349974870682,0.02198520116508007,0.022489216178655624,0.0225568488240242,0.022457873448729515,0.022099796682596207,0.021858593448996544,0.022184066474437714,0.02222472056746483,0.022585511207580566,0.02209429070353508,0.022285087034106255,0.02213248237967491
2023-06-14,0.022103341296315193,0.022216983139514923,0.021831387653946877,0.021942101418972015,0.022448737174272537,0.022279614582657814,0.021989349275827408,0.022132817655801773,0.02208828739821911,0.021938638761639595,0.022437071427702904,0.022094987332820892,0.022094154730439186,0.022798797115683556,0.02213224582374096,0.021917674690485,0.022334791719913483,0.02218514494597912,0.022723950445652008,0.021960366517305374,0.022125843912363052,0.022200752049684525,0.02194347232580185,0.022063544020056725,0.02215806022286415,0.022688008844852448,0.02225480042397976,0.022352175787091255,0.02195887267589569,0.022128023207187653,0.022046277299523354,0.0227906983345747,0.022338980808854103,0.022023862227797508,0.02193291485309601,0.022641532123088837,0.022324174642562866,0.02276458963751793,0.02231210470199585,0.022004369646310806,0.02259676344692707,0.022556046023964882,0.021992217749357224,0.021773669868707657,0.022377755492925644
2023-06-15,0.02235402911901474,0.022427048534154892,0.022000139579176903,0.02193272113800049,0.021959809586405754,0.02177094668149948,0.022103769704699516,0.022191159427165985,0.022016281262040138,0.022091159597039223,0.022858092561364174,0.022247513756155968,0.02216331660747528,0.022264821454882622,0.022187186405062675,0.022154126316308975,0.02228356897830963,0.022140759974718094,0.021557100117206573,0.022225305438041687,0.022293301299214363,0.0225536972284317,0.02167867124080658,0.02233908884227276,0.022092824801802635,0.022115200757980347,0.02281825616955757,0.022203709930181503,0.02196304127573967,0.022218486294150352,0.021983344107866287,0.022974403575062752,0.022180384024977684,0.022182945162057877,0.021926365792751312,0.022705119103193283,0.022725317627191544,0.022666972130537033,0.02181503362953663,0.022156380116939545,0.022267667576670647,0.02265487238764763,0.022236496210098267,0.022089364007115364,0.022230200469493866
2023-06-16,0.022222038358449936,0.02243359386920929,0.022289015352725983,0.021901801228523254,0.021773256361484528,0.022080756723880768,0.021885644644498825,0.022374853491783142,0.022453464567661285,0.021995101124048233,0.022751420736312866,0.021715620532631874,0.022160880267620087,0.02248471975326538,0.022078365087509155,0.022492609918117523,0.022495102137327194,0.022005340084433556,0.022241588681936264,0.022166993468999863,0.0223811324685812,0.022332368418574333,0.021805165335536003,0.02242620475590229,0.02235013246536255,0.02209634706377983,0.02303914912045002,0.02198650874197483,0.022419167682528496,0.02222006767988205,0.022287309169769287,0.0225556418299675,0.02208821289241314,0.022010523825883865,0.02200242504477501,0.022402580827474594,0.02199372835457325,0.02250196784734726,0.022083349525928497,0.022250473499298096,0.022400109097361565,0.02254333533346653,0.021945321932435036,0.02219424769282341,0.021682394668459892
2023-06-19,0.021898919716477394,0.022447090595960617,0.0216828640550375,0.02210019901394844,0.022287767380475998,0.021717026829719543,0.02235892042517662,0.022260896861553192,0.021839924156665802,0.022186273708939552,0.022604620084166527,0.021710695698857307,0.022001713514328003,0.022367775440216064,0.02216276340186596,0.022377561777830124,0.022702818736433983,0.02243809774518013,0.021911745890975,0.022524051368236542,0.02248501591384411,0.022007107734680176,0.02246619388461113,0.022225109860301018,0.02247193641960621,0.02219129353761673,0.02246101386845112,0.02191503532230854,0.022209407761693,0.022057507187128067,0.022082366049289703,0.02247452177107334,0.021997246891260147,0.022583626210689545,0.022068021818995476,0.02284008264541626,0.022101974114775658,0.022752664983272552,0.02204204350709915,0.02201882004737854,0.02229926735162735,0.022578474134206772,0.021943261846899986,0.022192347794771194,0.021953964605927467
2023-06-20,0.02193952165544033,0.022254467010498047,0.02199956402182579,0.022349363192915916,0.02206083945930004,0.02170788124203682,0.02259790152311325,0.022427573800086975,0.02216762863099575,0.02205537259578705,0.02270115166902542,0.022069377824664116,0.02213817648589611,0.021877659484744072,0.022411294281482697,0.021956080570816994,0.022631756961345673,0.022190451622009277,0.021955236792564392,0.022147560492157936,0.022635651752352715,0.02259201928973198,0.021557798609137535,0.021977996453642845,0.022262929007411003,0.022126369178295135,0.022801201790571213,0.022204509004950523,0.02212686650454998,0.022142373025417328,0.02240254357457161,0.022541798651218414,0.022257531061768532,0.021956637501716614,0.022138703614473343,0.02240808494389057,0.022178050130605698,0.02198699675500393,0.021828316152095795,0.022359995171427727,0.0224731657654047,0.022493399679660797,0.022314053028821945,0.0221775621175766,0.022416574880480766
